type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,3000,500,PT,ALL,4822,6,8.2
Nonref,3000,1000,CL,0-10,1835,40.2,-32.4
Nonref,3000,1000,CL,20-Oct,5670,42.7,-16.7
Nonref,3000,1000,CL,20-30,6525,31.1,4
Nonref,3000,1000,CL,30-40,5990,19.5,12.4
Nonref,3000,1000,CL,40-50,5305,12.7,11.8
Nonref,3000,1000,CL,50-60,5553,9.9,8.9
Nonref,3000,1000,CL,60-70,5892,8,12.2
Nonref,3000,1000,CL,70-80,5950,6,17.5
Nonref,3000,1000,CL,80-90,5638,4.2,20.5
Nonref,3000,1000,CL,90-95,5564,2.9,21.3
Nonref,3000,1000,CL,95-99,3779,1.1,26.1
Nonref,3000,1000,CL,Top 1%,319,0,28.6
Nonref,3000,1000,CL,ALL,5529,6.9,7.3
Nonref,3000,1000,NO,0-10,1835,40.2,-32.4
Nonref,3000,1000,NO,20-Oct,5670,42.7,-16.7
Nonref,3000,1000,NO,20-30,6525,31.1,4
Nonref,3000,1000,NO,30-40,5990,19.5,12.4
Nonref,3000,1000,NO,40-50,5305,12.7,11.8
Nonref,3000,1000,NO,50-60,5553,9.9,8.9
Nonref,3000,1000,NO,60-70,5892,8,12.2
Nonref,3000,1000,NO,70-80,5950,6,17.5
Nonref,3000,1000,NO,80-90,5639,4.2,20.5
Nonref,3000,1000,NO,90-95,5571,2.9,21.3
Nonref,3000,1000,NO,95-99,5638,1.7,25.2
Nonref,3000,1000,NO,Top 1%,5915,0.4,28.6
Nonref,3000,1000,NO,ALL,5648,7.1,7.2
Nonref,3000,1000,PT,0-10,1832,40.1,-32.4
Nonref,3000,1000,PT,20-Oct,5670,42.7,-16.7
Nonref,3000,1000,PT,20-30,6524,31.1,4
Nonref,3000,1000,PT,30-40,5988,19.5,12.4
Nonref,3000,1000,PT,40-50,5304,12.6,11.8
Nonref,3000,1000,PT,50-60,5552,9.9,8.9
Nonref,3000,1000,PT,60-70,5851,7.9,12.8
Nonref,3000,1000,PT,70-80,5409,5.5,20.7
Nonref,3000,1000,PT,80-90,3199,2.4,24.7
Nonref,3000,1000,PT,90-95,862,0.4,22.9
Nonref,3000,1000,PT,95-99,313,0.1,25.3
Nonref,3000,1000,PT,Top 1%,195,0,28.6
Nonref,3000,1000,PT,ALL,4903,6.1,8.1
Nonref,3500,0,CL,0-10,1836,40.2,-32.4
Nonref,3500,0,CL,20-Oct,5671,42.7,-16.7
Nonref,3500,0,CL,20-30,6525,31.1,4
Nonref,3500,0,CL,30-40,5994,19.6,12.3
Nonref,3500,0,CL,40-50,5381,12.8,10.6
Nonref,3500,0,CL,50-60,5860,10.5,7.8
Nonref,3500,0,CL,60-70,6240,8.4,12.1
Nonref,3500,0,CL,70-80,6280,6.3,17.5
Nonref,3500,0,CL,80-90,5997,4.5,20.5
Nonref,3500,0,CL,90-95,5936,3.1,21.3
Nonref,3500,0,CL,95-99,4098,1.2,26.2
Nonref,3500,0,CL,Top 1%,330,0,28.6
Nonref,3500,0,CL,ALL,5690,7.1,7
Nonref,3500,0,NO,0-10,1836,40.2,-32.4
Nonref,3500,0,NO,20-Oct,5671,42.7,-16.7
Nonref,3500,0,NO,20-30,6525,31.1,4
Nonref,3500,0,NO,30-40,5994,19.6,12.3
Nonref,3500,0,NO,40-50,5381,12.8,10.6
Nonref,3500,0,NO,50-60,5860,10.5,7.8
Nonref,3500,0,NO,60-70,6240,8.4,12.1
Nonref,3500,0,NO,70-80,6281,6.3,17.5
Nonref,3500,0,NO,80-90,5997,4.5,20.5
Nonref,3500,0,NO,90-95,5944,3.1,21.3
Nonref,3500,0,NO,95-99,6057,1.8,25.2
Nonref,3500,0,NO,Top 1%,6371,0.4,28.6
Nonref,3500,0,NO,ALL,5817,7.3,7
Nonref,3500,0,PT,0-10,1833,40.2,-32.4
Nonref,3500,0,PT,20-Oct,5670,42.7,-16.7
Nonref,3500,0,PT,20-30,6524,31.1,4
Nonref,3500,0,PT,30-40,5992,19.5,12.3
Nonref,3500,0,PT,40-50,5380,12.8,10.6
Nonref,3500,0,PT,50-60,5859,10.5,7.9
Nonref,3500,0,PT,60-70,6199,8.4,12.7
Nonref,3500,0,PT,70-80,5738,5.8,20.7
Nonref,3500,0,PT,80-90,3544,2.6,24.8
Nonref,3500,0,PT,90-95,1062,0.5,23.2
Nonref,3500,0,PT,95-99,321,0.1,25.3
Nonref,3500,0,PT,Top 1%,198,0,28.6
Nonref,3500,0,PT,ALL,5044,6.3,7.9
Nonref,3500,500,CL,0-10,1836,40.2,-32.4
Nonref,3500,500,CL,20-Oct,5671,42.7,-16.7
Nonref,3500,500,CL,20-30,6525,31.1,4
Nonref,3500,500,CL,30-40,5995,19.6,12.3
Nonref,3500,500,CL,40-50,5398,12.9,10.4
Nonref,3500,500,CL,50-60,5961,10.6,7.4
Nonref,3500,500,CL,60-70,6448,8.7,11.9
Nonref,3500,500,CL,70-80,6524,6.6,17.4
Nonref,3500,500,CL,80-90,6219,4.6,20.5
Nonref,3500,500,CL,90-95,6155,3.2,21.3
Nonref,3500,500,CL,95-99,4265,1.3,26.2
Nonref,3500,500,CL,Top 1%,340,0,28.6
Nonref,3500,500,CL,ALL,5780,7.2,7
Nonref,3500,500,NO,0-10,1837,40.2,-32.4
Nonref,3500,500,NO,20-Oct,5671,42.7,-16.7
Nonref,3500,500,NO,20-30,6525,31.1,4
Nonref,3500,500,NO,30-40,5995,19.6,12.3
Nonref,3500,500,NO,40-50,5398,12.9,10.4
Nonref,3500,500,NO,50-60,5961,10.6,7.4
Nonref,3500,500,NO,60-70,6448,8.7,11.9
Nonref,3500,500,NO,70-80,6524,6.6,17.4
Nonref,3500,500,NO,80-90,6219,4.6,20.5
Nonref,3500,500,NO,90-95,6163,3.2,21.3
Nonref,3500,500,NO,95-99,6263,1.9,25.2
Nonref,3500,500,NO,Top 1%,6587,0.4,28.6
Nonref,3500,500,NO,ALL,5910,7.4,6.9
Nonref,3500,500,PT,0-10,1833,40.2,-32.4
Nonref,3500,500,PT,20-Oct,5670,42.7,-16.7
Nonref,3500,500,PT,20-30,6524,31.1,4
Nonref,3500,500,PT,30-40,5993,19.5,12.3
Nonref,3500,500,PT,40-50,5397,12.9,10.4
Nonref,3500,500,PT,50-60,5960,10.6,7.4
Nonref,3500,500,PT,60-70,6406,8.7,12.5
Nonref,3500,500,PT,70-80,5982,6,20.7
Nonref,3500,500,PT,80-90,3763,2.8,24.8
Nonref,3500,500,PT,90-95,1175,0.6,23.3
Nonref,3500,500,PT,95-99,330,0.1,25.4
Nonref,3500,500,PT,Top 1%,202,0,28.6
Nonref,3500,500,PT,ALL,5124,6.4,7.8
